domein,product_url,product_naam,variant,prijs,vergelijkingsprijs,eenheid,eenheidsprijs,sku,categorieën
nootje.eu,https://nootje.eu/product/party-mix-gebrand-gezouten/,Party mix Gebrand Gezouten,Standaard,3.58,,,,,
nootje.eu,https://nootje.eu/product/amaretti-150-gram/,Amaretti (150 gram),Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product/chocolade-kusjes-voor-mama-nootje-liefste/,Chocolade kusjes voor mama/nootje/liefste,Standaard,0.0,,,,,
nootje.eu,https://nootje.eu/product/gerookte-amandelen/,Gerookte amandelen,Standaard,5.19,,,,,
nootje.eu,https://nootje.eu/product/studentenflikken-puur/,Studentenflikken Puur,Standaard,7.5,,,,,
nootje.eu,https://nootje.eu/product/macadamia-noten-gebrand-ongezouten/,Macadamia noten gebrand ongezouten,Standaard,2.5,,,,,
nootje.eu,https://nootje.eu/product/macadamia-mix-gebrand-gezouten/,Macadamia Mix Gebrand Gezouten,Standaard,2.1,,,,,
nootje.eu,https://nootje.eu/product/pistache-gepeld-gebrand-ongezouten/,Pistache gepeld gebrand ongezouten,Standaard,7.19,,,,,
nootje.eu,https://nootje.eu/product-categorie/noten/pecannoten/,Pecannoten,Standaard,2.1,,,,,
nootje.eu,https://nootje.eu/product/djakarta-pinda/,Djakarta Pinda,Standaard,5.19,,,,,
nootje.eu,https://nootje.eu/product/boska-kaasschaaf-mini/,Boska kaasschaaf mini,Standaard,14.95,,,,,
nootje.eu,https://nootje.eu/product/puur-natuur-ongebrand/,Puur natuur ongebrand,Standaard,2.95,,,,,
nootje.eu,https://nootje.eu/product/pistache-in-dop-ongebrand/,Pistache in dop Ongebrand,Standaard,5.6,,,,,
nootje.eu,https://nootje.eu/product/muslie/,Muesli,Standaard,4.95,,,,,
nootje.eu,https://nootje.eu/product/viena-bicanero-500-gram/,Viena Bicanero (500 gram),Standaard,9.95,,,,,
nootje.eu,https://nootje.eu/product/choco-mix/,Choco mix,Standaard,3.95,,,,,
nootje.eu,https://nootje.eu/product/borrelnoten-peking-noten-knoflook-shanghai/,Borrelnoten Peking noten – knoflook – Shanghai,Standaard,3.5,,,,,
nootje.eu,https://nootje.eu/product/boeren-truffel-kaas/,Boeren Truffel kaas,Standaard,2.6,,,,,
nootje.eu,https://nootje.eu/product/hazelnoot-brok-melk/,Hazelnoot brok melk,Standaard,6.5,,,,,
nootje.eu,https://nootje.eu/product/pinda-gebrand-ongezouten-pinda-ongebrand-xxl/,Pinda gebrand ongezouten (XXL),Standaard,3.18,,,,,
nootje.eu,https://nootje.eu/product/studentenfikken-melk/,Studentenflikken melk,Standaard,6.74,,,,,
nootje.eu,https://nootje.eu/product/cranberries/,Cranberries,Standaard,2.95,,,,,
